,year,month_name,hour,speed_average
0,2020,January,0,40
1,2020,January,21,31
2,2020,January,11,26
3,2020,January,7,28
4,2020,January,19,25
5,2020,January,6,33
6,2020,January,18,24
7,2020,January,8,27
8,2020,January,15,27
9,2020,January,17,25
10,2020,January,20,27
11,2020,January,5,40
12,2020,January,3,43
13,2020,January,22,34
14,2020,January,1,41
15,2020,January,10,26
16,2020,January,14,26
17,2020,January,23,37
18,2020,January,4,43
19,2020,January,13,26
20,2020,January,12,26
21,2020,January,2,42
22,2020,January,16,26
23,2020,January,9,26
24,2022,January,7,28
25,2022,January,18,25
26,2022,January,20,31
27,2022,January,4,41
28,2022,January,22,35
29,2022,January,0,39
30,2022,January,21,33
31,2022,January,19,28
32,2022,January,11,27
33,2022,January,23,37
34,2022,January,15,28
35,2022,January,16,26
36,2022,January,2,41
37,2022,January,1,40
38,2022,January,17,26
39,2022,January,6,32
40,2022,January,9,28
41,2022,January,10,27
42,2022,January,3,42
43,2022,January,12,26
44,2022,January,5,36
45,2022,January,8,28
46,2022,January,13,27
47,2022,January,14,28
48,2021,January,5,42
49,2021,January,22,40
50,2021,January,12,31
51,2021,January,9,32
52,2021,January,4,44
53,2021,January,11,31
54,2021,January,3,44
55,2021,January,0,44
56,2021,January,2,45
57,2021,January,1,44
58,2021,January,8,33
59,2021,January,20,35
60,2021,January,10,32
61,2021,January,15,32
62,2021,January,13,31
63,2021,January,21,37
64,2021,January,16,31
65,2021,January,17,31
66,2021,January,19,32
67,2021,January,18,31
68,2021,January,14,32
69,2021,January,7,34
70,2021,January,23,43
71,2021,January,6,37
72,2022,February,6,28
73,2022,February,4,40
74,2022,February,12,24
75,2022,February,0,39
76,2022,February,18,21
77,2022,February,20,29
78,2022,February,11,25
79,2022,February,22,35
80,2022,February,14,25
81,2022,February,3,42
82,2022,February,15,24
83,2022,February,5,34
84,2022,February,16,23
85,2022,February,23,38
86,2022,February,2,41
87,2022,February,1,41
88,2022,February,8,24
89,2022,February,13,24
90,2022,February,7,24
91,2022,February,9,25
92,2022,February,10,25
93,2022,February,21,33
94,2022,February,19,25
95,2022,February,17,22
96,2020,February,5,40
