,speed_average,Frequency
0,148,196
1,65,128726
2,133,223
3,126,289
4,81,15041
5,76,30553
6,12,1404451
7,122,344
8,177,39
9,140,251
10,6,283537
11,3,3471
12,142,271
13,178,20
14,92,3649
15,64,142238
16,112,535
17,189,7
18,37,1363511
19,61,191485
20,107,667
21,35,1499361
22,4,18231
23,8,651757
24,161,134
25,136,217
26,87,7119
27,60,213084
28,90,4932
29,151,203
30,141,225
31,33,1637414
32,11,1217685
33,83,11332
34,110,526
35,123,332
36,135,278
37,99,1544
38,66,116318
39,174,62
40,144,245
41,74,41004
42,104,737
43,134,270
44,36,1431668
45,31,1762579
46,85,8853
47,53,423176
48,34,1568346
49,44,899424
50,103,824
51,91,4624
52,93,3573
53,111,542
54,132,234
55,146,233
56,94,2847
57,57,290622
58,54,386025
59,120,371
60,19,2234900
61,114,464
62,59,237351
63,55,353249
64,100,1367
65,23,2220756
66,176,44
67,162,123
68,171,49
69,51,507589
70,166,109
71,102,862
72,82,13396
73,181,21
74,167,89
75,70,72236
76,125,284
77,143,239
78,95,2436
79,21,2257142
80,98,1723
81,56,321538
82,109,608
83,170,60
84,58,261161
85,14,1765363
86,124,296
87,30,1826779
88,186,10
89,137,235
90,128,258
91,47,718964
92,152,200
93,52,463705
94,16,2042934
95,168,78
96,20,2253217
97,139,267
98,48,660614
99,5,134703
100,117,420
101,15,1917685
102,43,963225
103,165,103
104,127,276
105,88,6173
106,175,35
107,129,274
108,50,555144
109,38,1298067
110,80,17518
111,25,2129972
112,24,2180793
113,195,3
114,75,35776
115,105,712
116,68,92777
117,147,227
118,158,162
119,79,20133
120,149,214
121,153,181
122,18,2195626
123,187,6
124,89,5501
125,78,22996
126,155,175
127,28,1960552
128,183,12
129,27,2020500
130,159,162
131,157,172
132,182,14
133,13,1595181
134,86,8003
135,40,1164158
136,169,95
137,96,2482
138,179,28
139,17,2133001
140,72,54530
141,173,54
142,39,1231879
143,7,451551
144,130,272
145,63,158524
146,45,836570
147,113,504
148,121,312
149,156,146
150,29,1892761
151,145,189
152,150,197
153,71,63651
154,42,1029829
155,119,402
156,131,235
157,118,422
158,46,777057
159,108,675
160,101,924
161,115,467
162,26,2077298
163,22,2247300
164,190,3
165,185,10
166,164,98
167,163,107
168,41,1095195
169,154,171
170,9,842942
171,49,605263
172,84,10155
173,194,2
174,69,82281
175,97,2231
176,10,1034485
177,77,26686
178,73,47464
179,160,155
180,62,174596
181,32,1699401
182,203,1
183,106,709
184,116,410
185,67,104333
186,172,50
187,138,231
188,180,23
189,192,2
190,184,11
191,199,2
192,202,1
193,204,3
194,197,1
195,188,6
196,213,2
197,193,2
198,208,2
199,205,1
200,214,2
