hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,43,42,42,42,42,40,40
1,44,43,43,43,42,41,42
2,44,44,43,44,43,42,43
3,43,43,43,44,44,44,44
4,44,43,43,43,43,43,44
5,41,41,41,40,41,41,43
6,35,34,34,34,34,36,39
7,31,30,30,30,30,33,34
8,30,29,29,29,29,32,32
9,29,28,29,28,29,31,31
10,29,28,28,28,28,30,30
11,29,28,28,28,28,29,30
12,29,28,28,28,28,28,30
13,30,28,28,28,28,28,30
14,30,28,28,28,28,29,32
15,30,28,28,28,28,29,33
16,29,28,28,28,27,29,32
17,28,27,27,27,27,29,31
18,28,27,27,27,26,28,31
19,29,28,28,28,28,29,32
20,32,31,31,31,29,31,34
21,34,34,33,34,32,33,36
22,37,37,36,36,35,36,39
23,40,40,39,40,38,38,42
