,year,hour,speed_average
0,2022,10,26
1,2022,2,41
2,2022,11,26
3,2022,23,38
4,2022,15,26
5,2022,19,26
6,2022,6,30
7,2022,9,26
8,2022,4,40
9,2022,12,25
10,2022,0,39
11,2022,18,23
12,2022,17,23
13,2022,7,26
14,2022,3,42
15,2022,16,24
16,2022,5,35
17,2022,8,25
18,2022,14,26
19,2022,1,40
20,2022,20,30
21,2022,21,33
22,2022,13,25
23,2022,22,35
24,2021,11,25
25,2021,2,43
26,2021,0,41
27,2021,5,39
28,2021,16,27
29,2021,12,25
30,2021,21,34
31,2021,17,26
32,2021,6,34
33,2021,10,26
34,2021,3,44
35,2021,13,25
36,2021,20,30
37,2021,14,26
38,2021,23,39
39,2021,18,26
40,2021,7,29
41,2021,1,43
42,2021,22,36
43,2021,19,28
44,2021,8,28
45,2021,9,27
46,2021,15,27
47,2021,4,43
48,2020,11,29
49,2020,9,29
50,2020,19,29
51,2020,3,43
52,2020,10,29
53,2020,23,39
54,2020,5,41
55,2020,14,29
56,2020,12,28
57,2020,22,37
58,2020,21,34
59,2020,20,31
60,2020,4,43
61,2020,18,28
62,2020,16,29
63,2020,7,31
64,2020,2,43
65,2020,13,29
66,2020,6,35
67,2020,15,29
68,2020,1,43
69,2020,0,41
70,2020,8,30
71,2020,17,28
