,direction,name_to_1,speed_average
0,SOUTH-NORTH,79,22.121709992404213
1,SOUTH-NORTH,59,23.14258045550301
2,NORTH-SOUTH,76,25.40484547960931
3,SOUTH-NORTH,153,36.313450162802404
4,NORTH-SOUTH,106,17.120072376604057
5,NORTH-SOUTH,170,28.655177427357355
6,SOUTH-NORTH,106,26.466448756563693
7,SOUTH-NORTH,39,22.410144769752254
8,SOUTH-NORTH,92,37.60007944880453
9,SOUTH-NORTH,134,37.10599674439519
10,NORTH-SOUTH,116,28.136109939759038
11,NORTH-SOUTH,112,19.362476907673194
12,SOUTH-NORTH,34,24.106816691659166
13,NORTH-SOUTH,188,22.047461219728916
14,NORTH-SOUTH,134,28.777579138444775
15,NORTH-SOUTH,153,30.01799599594595
16,SOUTH-NORTH,116,20.65722960470721
17,NORTH-SOUTH,79,15.412142016981981
18,NORTH-SOUTH,39,20.10219394397898
19,NORTH-SOUTH,140,24.095261521514264
20,NORTH-SOUTH,53,17.359104307573265
21,SOUTH-NORTH,170,30.828398071615347
22,NORTH-SOUTH,45,21.947574699752252
23,NORTH-SOUTH,85,14.296253503506005
24,NORTH-SOUTH,72,18.262094289962427
25,SOUTH-NORTH,127,39.31797645894815
26,NORTH-SOUTH,59,18.241780866453798
27,NORTH-SOUTH,127,25.052311294785877
28,SOUTH-NORTH,121,25.369951915747553
29,SOUTH-NORTH,45,21.227755572223888
30,NORTH-SOUTH,175,29.816387177543202
31,NORTH-SOUTH,63,16.88510956684448
32,NORTH-SOUTH,162,22.440610568347108
33,SOUTH-NORTH,112,22.08349372016579
34,SOUTH-NORTH,32,21.086331329819682
35,NORTH-SOUTH,34,17.51708395903153
36,NORTH-SOUTH,92,22.992851503819544
37,SOUTH-NORTH,72,19.41126771849737
38,NORTH-SOUTH,94,16.869653011543527
39,NORTH-SOUTH,121,18.747627377312313
40,SOUTH-NORTH,162,28.137252627642646
41,SOUTH-NORTH,85,28.483347097109608
42,SOUTH-NORTH,140,39.495216253403456
43,SOUTH-NORTH,76,18.48186286297297
44,SOUTH-NORTH,53,27.6745555973103
45,SOUTH-NORTH,175,25.429916980648088
46,NORTH-SOUTH,147,30.280257575837716
47,SOUTH-NORTH,147,31.5995399449136
48,SOUTH-NORTH,63,21.407072251442525
49,SOUTH-NORTH,94,38.740015413556385
