,day_week_name,direction,hour,speed_average
0,Sunday,NORTH-SOUTH,0,36.36561864063696
1,Sunday,NORTH-SOUTH,19,29.895852504112383
2,Sunday,NORTH-SOUTH,11,21.907702904432
3,Sunday,NORTH-SOUTH,22,36.99668532842632
4,Sunday,NORTH-SOUTH,10,22.832964847978424
5,Sunday,NORTH-SOUTH,8,25.50224959290309
6,Sunday,NORTH-SOUTH,1,37.65960046822067
7,Sunday,NORTH-SOUTH,21,34.696222007304556
8,Sunday,NORTH-SOUTH,13,19.92022684057458
9,Sunday,NORTH-SOUTH,9,24.171355523878265
10,Sunday,NORTH-SOUTH,17,29.05367501355457
11,Sunday,NORTH-SOUTH,12,20.646467454043982
12,Sunday,NORTH-SOUTH,5,37.70510520595399
13,Sunday,NORTH-SOUTH,4,40.425079122485734
14,Sunday,NORTH-SOUTH,7,27.367545806178743
15,Sunday,NORTH-SOUTH,15,29.27248914226587
16,Sunday,NORTH-SOUTH,23,38.37684042622481
17,Sunday,NORTH-SOUTH,20,32.45046211499375
18,Sunday,NORTH-SOUTH,6,33.17643758904703
19,Sunday,NORTH-SOUTH,16,29.40575156081232
20,Sunday,NORTH-SOUTH,2,38.933539798975154
21,Sunday,NORTH-SOUTH,3,40.211899714649405
22,Sunday,NORTH-SOUTH,18,28.1804085233469
23,Sunday,NORTH-SOUTH,14,26.40479098804356
24,Monday,NORTH-SOUTH,0,39.02969382217517
25,Monday,NORTH-SOUTH,5,33.80789564690397
26,Monday,NORTH-SOUTH,22,35.145193585555354
27,Monday,NORTH-SOUTH,1,39.953127035836715
28,Monday,NORTH-SOUTH,17,23.056400528852734
29,Monday,NORTH-SOUTH,18,23.429635543842558
30,Monday,NORTH-SOUTH,16,23.57934499603133
31,Monday,NORTH-SOUTH,4,39.83549179217136
32,Monday,NORTH-SOUTH,14,26.081831095738416
33,Monday,NORTH-SOUTH,13,24.29640154597844
34,Monday,NORTH-SOUTH,10,23.668349267754266
35,Monday,NORTH-SOUTH,19,26.781723423079118
36,Monday,NORTH-SOUTH,6,25.819401952811234
37,Monday,NORTH-SOUTH,12,23.7558814754943
38,Monday,NORTH-SOUTH,9,22.746675481438153
39,Monday,NORTH-SOUTH,15,24.89294480605168
40,Monday,NORTH-SOUTH,20,30.513528611288027
41,Monday,NORTH-SOUTH,7,20.9599288038934
42,Monday,NORTH-SOUTH,21,32.75271249149696
43,Monday,NORTH-SOUTH,2,40.644157463329854
44,Monday,NORTH-SOUTH,23,37.40387849198536
45,Monday,NORTH-SOUTH,3,40.99658139695068
46,Monday,NORTH-SOUTH,11,23.896727716660557
47,Monday,NORTH-SOUTH,8,20.891720572312845
48,Tuesday,NORTH-SOUTH,22,33.892647916597916
49,Tuesday,NORTH-SOUTH,13,23.5580398612638
50,Tuesday,NORTH-SOUTH,19,23.659760468685533
51,Tuesday,NORTH-SOUTH,4,38.325000678548726
52,Tuesday,NORTH-SOUTH,18,20.1265150097525
53,Tuesday,NORTH-SOUTH,1,39.500035258989016
54,Tuesday,NORTH-SOUTH,16,20.755966098146832
55,Tuesday,NORTH-SOUTH,21,31.150099486986278
56,Tuesday,NORTH-SOUTH,20,28.366116888554487
57,Tuesday,NORTH-SOUTH,17,19.814449355158064
58,Tuesday,NORTH-SOUTH,3,40.38532816961476
59,Tuesday,NORTH-SOUTH,14,23.709829553318773
60,Tuesday,NORTH-SOUTH,5,31.991241863287208
61,Tuesday,NORTH-SOUTH,10,21.642024057133938
